,second,frame,brightness_mean,brightness_max,brightness_min,saturation_mean,texture,contrast,color_entropy,loudness.1,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,spectral_centroid,spectral_rolloff,zero_crossing_rate,Unnamed: 0,anger,joy,disgust,fear,sadness,sentiment,content,sentiment_count_product,cid,view,reply,favorite,coin,share,like,duration,danmuku_amount,loudness
chroma_0,0.007461692893282302,0.007257943857657895,-0.005385798160065607,-0.009423799106606406,-0.002787580736649249,-0.011784144217194766,0.0008622043448145921,-0.009762831453057631,-0.0029309187011025474,-0.07369065445446622,1.0,0.7508244608131042,0.4222898503098337,0.21652688914756726,0.1016771123346572,0.041182870869672136,0.00738430412988474,0.026318946075521137,0.07727386350176742,0.18560707026360035,0.41155220470005277,0.7663533427448402,-0.04547693631094681,-0.07544363948801248,-0.01849774901330536,0.10512843488534107,0.05184346955089324,0.08790736956750096,0.052198966597496746,0.17294668893000537,0.12509774369342436,0.17380828309469099,0.03435090256803747,0.09000080767749634,0.010166731217000216,0.1602492973370024,0.11152705235762342,0.1735733423733495,0.07212109572912903,0.12304368357403969,0.024770075894491244,0.05745235224121053,-0.05566644430538142,-0.004946229043761383,-0.1015032831119858,0.02657599931732548,0.0027578202824780555,-0.009538208481473251,-0.00422780059636543,-0.0016715158953105765,-0.0032282766977964512,-0.01322198652039152,-0.0018220303015448521,-0.006751409703426987,0.00308583150325659,-0.008631446052542843,0.005929607679620222,-0.033254529585724134,0.0005887896625179365,-0.01510351380033466,-0.016431466954909196,0.007609212204468356,0.021385052472486406,-0.08082178713825561
chroma_1,0.004093754570357428,0.0037064308233712797,-0.006202232371074944,-0.007739779434529979,-0.0013971814632049325,-0.013499766325892738,-0.00010087700154377622,-0.009699995467131342,-0.00010793066490280867,-0.0707707436681853,0.7508244608131042,1.0,0.7767104293379283,0.4472065947143503,0.2132356170708715,0.10873630570079801,0.05381255629229925,0.03238288969262627,0.05413348983896346,0.10742104943852633,0.2164993849417747,0.4337039728527648,-0.04467314880920307,-0.08212344388344313,-0.02229068085289274,0.10490778213735012,0.054540424207602606,0.0824003435554158,0.04654264346441549,0.1600615243198948,0.12028496560026664,0.17295002197488962,0.02679972651817853,0.099727107019902,0.055418985654929594,0.208859688240938,0.1366395233749591,0.18798601228737877,0.06992407591313211,0.11896092534895979,0.012482953619199296,0.05947458291143016,-0.05258452032474291,0.0031433638738953655,-0.10633848073337178,0.033626084854575064,0.0012110335148006633,-0.010265748283687306,-0.00392467967634778,-0.00044124214881202276,-0.0027513289322178476,-0.011967063929557414,-0.0013986838373342653,-0.006197439823368654,0.0031480866166548873,-0.010878857625495108,0.005741631815926597,-0.0388974731792003,0.0032374586201263985,-0.02018020401799643,-0.017651563174453523,0.002860300296819488,0.026964499849520453,-0.07378473373598374
chroma_2,-0.010863813961782699,-0.011095811546812136,-0.005017955043610975,-0.005608935049545565,0.0008204826193626744,-0.017226529522316514,0.0006987895157819104,-0.00941802445502766,0.0025401510215526347,-0.0638471111703567,0.4222898503098337,0.7767104293379283,1.0,0.7832317988632808,0.4155254852507839,0.22231881922360766,0.11499015709357502,0.06456584988548418,0.04382731645393494,0.06567028138903232,0.11528959244784777,0.22899125672300977,-0.03486681985202301,-0.08726804121169267,-0.031362401826527816,0.0906057339774069,0.05186233114038976,0.06447600802384494,0.034725288800125195,0.1414257443008587,0.11798047816684958,0.1613916813158741,0.020319374997171444,0.11632266572324684,0.10427065354138794,0.24405391967605253,0.15167307051315662,0.19170062199583995,0.06550503625748931,0.1154106870361928,0.00674008914051201,0.07094994635365835,-0.05029338325410963,0.009668107742556397,-0.10789400433741873,0.036355080867049916,0.00014710145859221183,-0.009048719734458617,-0.0058413663907452285,0.0019068861793934907,-0.0023241958734160776,-0.010814580532341612,0.0004953814341107834,-0.004140273042550945,0.00978303746198555,-0.008167272045243642,0.010005560818445593,-0.03289014044069991,0.006420014605666284,-0.017075716560503464,-0.014180448567605511,-0.014927993594022098,0.03119005916485709,-0.0672671273823686
chroma_3,-0.0249742765314274,-0.025143320062965404,-0.005451153333396692,-0.0051800570251306485,0.002076827995179354,-0.02297102891738673,0.004004219640929042,-0.011859436190138845,0.002707799689550669,-0.06031979750048322,0.21652688914756726,0.4472065947143503,0.7832317988632808,1.0,0.7356728112457185,0.4112240235286946,0.21774407935010448,0.126407259227782,0.06780551257563006,0.04958561020654766,0.06827357280965145,0.11638344635727174,-0.033501233659398534,-0.09050849261942324,-0.03725041110904377,0.07683283825789247,0.042399526441691725,0.05678235936373427,0.024805714803276913,0.13817831202637723,0.12015326336280564,0.15510372443898318,0.0261328259706328,0.14427930232993863,0.14514395582162568,0.258456376930539,0.14177097258246207,0.17391466001113048,0.053557327274092584,0.10882634226433548,0.012398766904769227,0.09066586427005774,-0.05398290106527848,0.009126719530446074,-0.1150296667619712,0.03784389853742534,-0.002387575751261491,-0.007799956126259818,-0.0064461221464290975,0.003008149912957698,-0.0016094962600978358,-0.011344921968139545,0.0032138099878555692,-0.0011360432019641056,0.01816940854010683,-0.0030432007713359437,0.015114910000009002,-0.02794931613824062,0.012148469989572523,-0.017192194300200792,-0.010485213742404064,-0.03193011401277019,0.037381084042237875,-0.06762697472117755
chroma_4,-0.017208545050803867,-0.017116181720439428,-0.0010495136720857117,-0.003111292265418167,0.005446866564030727,-0.02435197959765305,0.005610514306791188,-0.014345232461941275,0.004409537509624318,-0.06883396762783973,0.1016771123346572,0.2132356170708715,0.4155254852507839,0.7356728112457185,1.0,0.742639800014323,0.36645519736441357,0.2219003297967593,0.11752369049640773,0.0564650204200982,0.037905780502697925,0.05338927650008825,-0.05321246593954953,-0.11763145730664333,-0.014133720416854925,0.08281319009131535,0.032905065516378916,0.048362889933033906,0.021391741385116386,0.13408534302616157,0.145770228567,0.15365787522276053,0.046464237228818345,0.17082456124646164,0.18549004165953095,0.2518283813455089,0.1370234205907335,0.1416259619908949,0.05804265794595721,0.09888966657455536,0.03721348322422875,0.10010443358362697,0.01670465902825493,0.058219249922791566,-0.035829292640988025,0.034658925755968205,-0.002179216323836388,-0.007382951368995489,-0.0063539011861530525,0.005366370628290955,0.00159402783241549,-0.008375441221995298,0.006376162113820214,0.0029188036007419646,0.02503594703738748,-0.0016021764130514514,0.01830489075413279,-0.0038579419575476962,0.014310876374163247,-0.009193712193225916,-0.009907045349455976,-0.02272702724574626,0.03431963469717345,-0.07616753169284021
chroma_5,0.013467530521274178,0.013670614056356846,0.007498870146285544,-0.000836167183485738,0.005615960997970825,-0.0201822700204941,-0.0018062283006595075,-0.008252911751678346,0.013439521869974365,-0.08238497519483438,0.041182870869672136,0.10873630570079801,0.22231881922360766,0.4112240235286946,0.742639800014323,1.0,0.6458382787289437,0.3819416892491636,0.20720977813605745,0.0980784640027132,0.04212328046092697,0.018636663907293856,-0.08922645348834908,-0.16072002542045857,0.013021955688791644,0.10545589902736127,0.033302211664663434,0.06678980504902478,0.01775096194687366,0.1544842887526291,0.18623735299010458,0.16848842592208105,0.08356681570460674,0.19962596984691178,0.20891156948683154,0.2396864468910754,0.132857657930256,0.11562095241091443,0.08085075129845534,0.09900866853739737,0.07793865388322906,0.11623879608807348,0.10174728075376112,0.11285265138152002,0.0675532987048866,0.0320424688893446,-0.00027008171995288526,-0.0040574805520373096,-0.003984788488248241,0.006307886512583407,0.005938171333869198,-0.006975600898790747,0.014496241678492415,0.011286332209562433,0.022584951310473413,0.000692329045817346,0.019333226798057965,0.01823266861554778,0.01770570440808315,-0.0022472431155242684,-0.0070844662232770654,0.01265139085464483,0.03426400076713144,-0.08800510805612945
chroma_6,0.08897045793708261,0.0884571967994119,-0.0420398129179649,-0.02391440041698861,0.0036428506761266377,0.037997510389528893,-0.011051984268485486,-0.04562408789746101,-0.03287929003947944,-0.08905908997958507,0.00738430412988474,0.05381255629229925,0.11499015709357502,0.21774407935010448,0.36645519736441357,0.6458382787289437,1.0,0.7337736197160311,0.3863961022865562,0.1942773888466646,0.07727202946481457,0.018046102647359424,-0.1072692407310272,-0.10853299867215763,0.02241646210846745,0.1032939259984074,0.042971652127209804,0.07920952529734974,0.027439175132435455,0.16264452062819576,0.18887767982136247,0.17472134395752778,0.11223186072955897,0.17360957547022157,0.20427301414133045,0.18574115497456586,0.09604904655644317,0.09201478463343221,0.0780803076064759,0.08156812716469154,0.10080807599536591,0.11101945864214273,0.11610353401539536,0.11732127407969273,0.06154352153553944,0.03404490439958881,-0.005267147554246954,-0.004582234621103547,-0.009076860380058716,-0.0033656671073555794,-0.0017352174011989927,-8.057006571790013e-05,0.005784381413573564,0.005529880910057278,-0.04352722337685174,-0.01187137167105751,-0.010078409880938605,-0.006658047659114344,0.004441358176338334,-0.020020790272179227,-0.01363526935577273,0.10307372228332813,0.015842560380342107,-0.07374343392762202
chroma_7,0.008296150525678433,0.007818409412061546,-0.022747627259943688,-0.014334581305351736,-0.0008948122739784719,-0.0003199362226762383,-0.005999451795817304,-0.020987673197406267,-0.018270655076119465,-0.07156792796008021,0.026318946075521137,0.03238288969262627,0.06456584988548418,0.126407259227782,0.2219003297967593,0.3819416892491636,0.7337736197160311,1.0,0.7294346996431907,0.39963685458186027,0.19339363834166848,0.07530233930407242,-0.050496852486962104,-0.07923838514214548,-0.03193229828438202,0.06622197868646847,0.022946393648891106,0.054102342868754774,0.03271899165906089,0.17533325655533805,0.1568083835719564,0.18671716552457943,0.10727841182871826,0.20689385033394914,0.14163328480040915,0.15729271180649182,0.03633325692681222,0.10073298430133329,0.04366273017571579,0.1191156166121024,0.08393078968795255,0.16922022011777443,-0.031013198459730176,0.019101980834533207,-0.08574683111059359,0.029357777075414336,-0.0014160326441916748,-0.004641278632387597,-0.007530570175725217,-0.0020900756545820984,-0.0012449610694581252,-0.009575680193674824,0.004493964446093302,0.0009259883035868944,-0.01188675868211304,-0.0022926186333049126,0.00220439065819904,-0.03640950404012499,0.0038549065107381774,-0.01756776317132066,-0.011579995486200097,0.007976629557662561,0.022865673325072035,-0.0735673033559813
chroma_8,-0.040024370346214186,-0.040666908240173334,-0.00607924601901554,-0.007451093111926603,-0.00119159738974818,-0.02520873348002966,-0.0020235445554683796,-0.004731264872132299,-0.008223376562829707,-0.060790948255460595,0.07727386350176742,0.05413348983896346,0.04382731645393494,0.06780551257563006,0.11752369049640773,0.20720977813605745,0.3863961022865562,0.7294346996431907,1.0,0.7703703906349533,0.4282192222538343,0.20597577695011265,-0.01971535112370113,-0.07018093570691947,-0.06203661390123308,0.049514256188324335,0.019934488655817803,0.04932835229350073,0.050161240905516526,0.19527865744214207,0.15410270337058,0.20469727906361565,0.11047924066832213,0.20974566592784577,0.08494483583652769,0.12332752813464563,0.005249418597574643,0.11176228169781112,0.029670927681205987,0.1415731990797555,0.07837181161000127,0.18501090817622295,-0.08671838110750336,-0.022641891076479233,-0.1374686360789128,0.03007018789057587,0.0007691593259794514,-0.008075053647793085,-0.006587610769519594,-0.0020449790417970642,-0.0013387163054195351,-0.01450715475663802,0.0025834146091251575,-0.0022970231537738617,0.008002786959316688,0.006352659065045551,0.010182368614518546,-0.04813721135669195,0.008745968936543112,-0.017316412639182766,-0.006489101374596988,-0.049711702421373884,0.03013959304683322,-0.07171971988155552
chroma_9,-0.05611920320358485,-0.056737272185511216,-0.003352935975722947,-0.005624877129139452,-0.001141572863971111,-0.0287106881942344,0.00032800487672351574,-0.0024721903594212905,-0.007107713571062147,-0.05905381311460345,0.18560707026360035,0.10742104943852633,0.06567028138903232,0.04958561020654766,0.0564650204200982,0.0980784640027132,0.1942773888466646,0.39963685458186027,0.7703703906349533,1.0,0.7478216874532108,0.4035398968899231,-0.009578678587476458,-0.06506406566861961,-0.06834873592046804,0.04790715464790158,0.02860302589465298,0.055535003110589086,0.06525426194468147,0.20517447680613313,0.15811146025517392,0.20970793657108025,0.10795604475365746,0.1868006715870533,0.04252926791715869,0.10252327748724606,0.01182065540930822,0.13107896900590804,0.043646282660973125,0.15580215440162687,0.07929588378098582,0.17289464277083297,-0.09370018838476529,-0.028717960713244804,-0.14145807326868348,0.02598753987436621,0.0018149677688547585,-0.008701166869332444,-0.0050119042267839685,-0.001388971774668624,-0.0011299095253505186,-0.014632903856671353,0.00287787170120861,-0.002405176345600983,0.014815236797333136,0.0057547083842036375,0.010828919580000325,-0.05072515240431742,0.006682805978463756,-0.015504162782703236,-0.006205958192447953,-0.06868259104714204,0.028932433479720375,-0.07519135737183075
chroma_10,-0.05020096627634504,-0.05093449545452066,-0.0025723548095628692,-0.005477490489051174,-0.001766387738454181,-0.029826821959912812,0.0006540817715344756,-0.0030241751056998925,-0.007083421254692369,-0.05719777986878311,0.41155220470005277,0.2164993849417747,0.11528959244784777,0.06827357280965145,0.037905780502697925,0.04212328046092697,0.07727202946481457,0.19339363834166848,0.4282192222538343,0.7478216874532108,1.0,0.7582033234221269,-0.011009385699367095,-0.05320688728088365,-0.05807519689128241,0.05928798278376932,0.040457310864172855,0.07084864012753296,0.0652126655414291,0.20329695303003587,0.1461262804120975,0.19723434155752306,0.09094956720328605,0.14318423020036644,0.005652895255271671,0.09826000555280952,0.035756730360320774,0.14697177071417292,0.05700309695845019,0.14734274866443692,0.06475040582986656,0.13251435441667966,-0.09853724647418093,-0.03475988483620004,-0.14473014266437156,0.024924687255825494,0.0015066189508679796,-0.010127295768640146,-0.004629926332423556,-0.0035098064177847255,-0.0018002001499041432,-0.014203055623736556,-0.000807319328718337,-0.00566445280888196,0.015189831887538146,0.0034083666026348248,0.008990049480893915,-0.0471828814229859,0.004393395619910915,-0.016180409400652584,-0.0069114643384393685,-0.062388661142657044,0.026420759768010775,-0.07905217834694454
